Racines NY,0
Little Park,0
Blaue Gans,0
Rosanjin,1
Brushstroke,1
Tiny's,0
The Odeon,0
Marc Forgione,0
atera,1
Ichimura,1
Khe-Yo,0
Bouley,1
Landmarc,0
Zutto,0
Jungsik,1
Tamarind,0
MarkJoseph,0
Bâtard,1
Peking Duck House,0
North End Grill,0
Tribeca Grill,0
Nom Wah Tea Parlor,0
Bo Ky,0
Thái Soŉ,0
Macao Trading Co.,0
Xe Lua,0
Locanda Verde,0
Dim Sum Go Go,0
Trading Post,0
A-Wah,0
Golden Unicorn,0
Great N.Y. Noodletown,0
Oriental Garden,0
New Malaysia,0
Il Cortile,0
Royal Seafood,0
Grand Harmony,0
Shanghai Heping,0
Harry's Cafe & Steak,0
Shanghai Café,0
Parigot,0
Malaysian Kitchen,0
Papatzul,0
Antique Garage,0
Nebraska Steakhouse,0
Daruma-ya Soba,0
Sushi Azabu,1
Nyonya,0
Inatteso Pizzabar Casano,0
Brinkley's,0
The Greek,0
La Esquina,0
Pier A,0
Sessanta,0
Bacchanal,0
Gigino at Wagner Park,0
Balthazar,0
Ed's Lobster Bar,0
The Fat Radish,0
Hirohisa,1
Bacaro,0
Fung Tu,0
Balaboosta,0
Aquagrill,0
Café el Portal,0
Louie and Chan,0
Uncle Boons,1
Rubirosa,0
Houseman,0
Blue Ribbon,0
Blue Ribbon Sushi,0
Giorgione,0
Peasant,0
Emporio,0
Snack,0
Dirt Candy,0
The River Café,1
Cafe Katja,0
Public,1
Mercer Kitchen,0
Ciccio,0
Raoul's,0
Rebelle,1
Pearl & Ash,0
cocoron,0
The Dutch,0
Congee Village,0
Navy,0
Cata,0
Chefs Club,0
Burger & Barrel,0
Rouge et Blanc,0
Russ & Daughters Cafe,0
The Musket Room,1
Estela,0
Gran Eléctrica,0
Cómodo,0
Emilio's Ballato,0
Charlie Bird,0
Contra,0
Sauce,0
Miss Lily's,0
ZZ's Clam Bar,1
Cherche Midi,0
Lupa,0
Gato,0
Atrium,0
Carbone,1
Spitzer's Corner,0
Wassail,0
DBGB Kitchen & Bar,0
Jack the Horse,0
Bowery Meat Company,0
Mas (farmhouse),0
Blue Ribbon Bakery,0
A Casa Fox,0
L'Apicio,0
SakaMai,0
Saxon + Parole,0
Bianca,0
Il Buco,0
The Stanton Social,0
Macondo,0
Le Philosophe,0
Schiller's Liquor Bar,0
Market Table,0
BONDST,0
Joe & MissesDoe,0
Bar Primi,0
Dirty French,0
Prune,0
Yopparai,0
Noodle Pudding,0
EN Japanese Brasserie,0
Piora,1
Acme,0
Minetta Tavern,1
Vics,0
Katz's,0
Il Buco Alimentari e Vineria,0
Lil' Frankie's,0
Yunnan Kitchen,0
Lafayette,0
Perla,0
Hecho en Dumbo,0
Balvanera,0
Aroma Kitchen & Wine Bar,0
Sociale,0
Murray's Cheese Bar,0
Takashi,0
The Black Ant,0
Baker & Co.,0
Pearl Oyster Bar,0
Pó,0
Sushi Nakazawa,0
Kesté Pizza & Vino,0
Le Gigot,0
Ivan Ramen,0
Thelma on Clinton,0
Wasan,0
Pagani,0
The Little Owl,0
Supper,0
Narcissa,0
Las Ramblas,0
Jewel Bako,1
Degustation,0
Clinton St. Baking Company,0
Risotteria Melotti,0
Perilla,0
Buvette,0
Tertulia,0
Soto,1
Sobakoh,0
annisa,0
Blue Hill,1
Rockmeisha,0
The Mermaid Inn,0
Panca,0
Via Carota,0
Babbo,1
Mighty Quinn's,0
I Sodi,0
Hot Kitchen,0
Malai Marke,0
Sigiri,0
Hakata Tonton,0
The Eddy,0
Root & Bone,0
Porsena,0
Kiin Thai,0
L'Artusi,0
Joseph Leonard,0
Margaux,0
RedFarm,0
Huertas,0
Somtum Der,1
The Bao,0
Ramen Misoya,0
Sushi Dojo,0
Empellón Taqueria,0
Kyo Ya,1
Perry Street,0
Tuome,0
Hasaki,0
Fedora,0
Oiji,0
Mary's Fish Camp,0
Pylos,0
Lavagna,0
Oda House,0
Noreetuh,0
Left Bank,0
Sevilla,0
Vinegar Hill House,0
Spasso,0
Soba-Ya,0
Robataya,0
Prime & Beyond New York,0
Wallsé,1
Café Mogador,0
Alta,0
Spotted Pig,1
Extra Virgin,0
Kura,0
Morandi,0
Kajitsu,1
Rai Rai Ken,0
Curry-Ya,0
Cagen,1
Graffiti,0
Dieci,0
ChikaLicious,0
Gotham Bar and Grill,1
Yerba Buena Perry,0
Shuko,0
Momofuku Ko,1
Kanoyama,0
Momofuku Noodle Bar,0
Malaparte,0
Colonie,0
Cacio e Pepe,0
Edi & The Wolf,0
All'onda,0
Hibino,0
The Place,0
Recette,0
Feast,0
Flinders Lane,0
Cafe Cluny,0
Barraca,0
Kafana,0
Motorino,0
Blenheim,0
Momofuku Ssäm Bar,0
Donostia,0
Good,0
East 12th Osteria,0
Barbuto,0
Gnocco,0
Hearth,0
Wallflower,0
Gradisca,0
Luzzo's,0
Balade,0
Au Za'atar,0
Northern Spy Food Co.,0
Pok Pok Ny,1
15 East,0
Tocqueville,0
Untitled,0
Crispo,0
Coppelia,0
Santina,0
Virginia's,0
Paradou,0
La Vara,1
Blue Water Grill,0
Union Square Cafe,0
Legend Bar & Restaurant,0
Laut,0
Casa Mono,1
Standard Grill,0
Alma,0
Aldea,1
da Umberto,0
Crema,0
Ootoya,0
ABC Kitchen,0
The Gander,0
Sottocasa,0
Ki Sushi,0
ABC Cocina,0
Bocca,0
Brucie,0
Craft,0
French Louie,0
Cull & Pistol,0
Boqueria,0
Gramercy Tavern,1
Take Root,1
Craftbar,0
Barbounia,0
Mari Vanna,0
Chef's Table at Brooklyn Fare,1
élan,0
Montmartre,0
Strong Place,0
Periyali,0
Mile End,0
Cosme,0
Almayass,0
Toro,0
Colicchio & Sons,0
Socarrat,0
Ganso Ramen,0
Del Posto,1
Maialino,0
Rocking Horse Cafe,0
Novitá,0
Prova,0
Clover Club,0
Naka Naka,0
Salinas,0
BLT Prime,0
Tipsy Parson,0
Jolie Cantina,0
Marlow & Sons,0
Diner,0
1 or 8,0
Manzo,0
Battersby,0
Rucola,0
The Clocktower,0
Enoteca on Court,0
Aurora,0
Foragers City Table,0
Cafe El Presidente,0
Eleven Madison Park,1
The Little Beet Table,0
Cookshop,0
Junoon,1
Blossom,0
Pastai,0
Lulu & Po,0
